generation,time,best_fitness,mean_fitness,std_fitness,diversity,avg_sigma,games_per_sec
1,4.30,1.000000,0.500000,0.319142,0.323909,0.100000,209.4
2,15.40,1.000000,0.763158,0.151173,0.323909,0.100000,238.6
3,14.96,1.000000,0.763158,0.151173,0.323909,0.100000,245.3
4,16.09,1.000000,0.763158,0.151173,0.323909,0.100000,242.4
5,16.29,1.000000,0.763158,0.151173,0.323909,0.100000,240.2
6,16.50,1.000000,0.763158,0.151173,0.323909,0.100000,238.2
7,16.35,1.000000,0.763158,0.151173,0.323909,0.100000,237.3
8,16.58,1.000000,0.763158,0.151173,0.323909,0.100000,236.1
9,17.16,1.000000,0.763158,0.151173,0.323909,0.100000,234.3
10,15.07,1.000000,0.763158,0.151173,0.323909,0.100000,236.1
11,15.99,1.000000,0.763158,0.151173,0.323909,0.100000,236.2
12,16.14,1.000000,0.763158,0.151173,0.323909,0.100000,236.2
13,17.62,1.000000,0.763158,0.151173,0.323909,0.100000,234.3
14,15.63,1.000000,0.763158,0.151173,0.323909,0.100000,235.0
15,14.86,1.000000,0.763158,0.151173,0.323909,0.100000,236.3
16,14.66,1.000000,0.763158,0.151173,0.323909,0.100000,237.7
17,14.87,1.000000,0.763158,0.151173,0.323909,0.100000,238.7
18,16.29,1.000000,0.763158,0.151173,0.323909,0.100000,238.4
19,19.88,1.000000,0.763158,0.151173,0.323909,0.100000,235.2
20,19.66,1.000000,0.763158,0.151173,0.323909,0.100000,232.6
21,16.63,1.000000,0.763158,0.151173,0.323909,0.100000,232.4
22,14.75,1.000000,0.763158,0.151173,0.323909,0.100000,233.5
23,14.66,1.000000,0.763158,0.151173,0.323909,0.100000,234.5
24,14.63,1.000000,0.763158,0.151173,0.323909,0.100000,235.5
25,14.93,1.000000,0.763158,0.151173,0.323909,0.100000,236.2
26,14.76,1.000000,0.763158,0.151173,0.323909,0.100000,237.0
27,15.64,1.000000,0.763158,0.151173,0.323909,0.100000,237.2
28,16.48,1.000000,0.763158,0.151173,0.323909,0.100000,237.0
29,18.74,1.000000,0.763158,0.151173,0.323909,0.100000,235.6
30,16.63,1.000000,0.763158,0.151173,0.323909,0.100000,235.3
31,17.26,1.000000,0.763158,0.151173,0.323909,0.100000,234.8
32,17.25,1.000000,0.763158,0.151173,0.323909,0.100000,234.3
33,16.88,1.000000,0.763158,0.151173,0.323909,0.100000,234.0
34,15.73,1.000000,0.763158,0.151173,0.323909,0.100000,234.2
35,17.33,1.000000,0.763158,0.151173,0.323909,0.100000,233.8
36,19.15,1.000000,0.763158,0.151173,0.323909,0.100000,232.6
37,18.05,1.000000,0.763158,0.151173,0.323909,0.100000,231.9
38,17.75,1.000000,0.763158,0.151173,0.323909,0.100000,231.4
39,18.11,1.000000,0.763158,0.151173,0.323909,0.100000,230.8
40,19.33,1.000000,0.763158,0.151173,0.323909,0.100000,229.8
41,17.26,1.000000,0.763158,0.151173,0.323909,0.100000,229.5
42,16.52,1.000000,0.763158,0.151173,0.323909,0.100000,229.5
43,16.79,1.000000,0.763158,0.151173,0.323909,0.100000,229.4
44,16.38,1.000000,0.763158,0.151173,0.323909,0.100000,229.5
45,16.44,1.000000,0.763158,0.151173,0.323909,0.100000,229.5
46,16.68,1.000000,0.763158,0.151173,0.323909,0.100000,229.5
47,16.84,1.000000,0.763158,0.151173,0.323909,0.100000,229.4
48,15.85,1.000000,0.763158,0.151173,0.323909,0.100000,229.6
49,17.08,1.000000,0.763158,0.151173,0.323909,0.100000,229.5
50,16.38,1.000000,0.763158,0.151173,0.323909,0.100000,229.5
51,16.43,1.000000,0.763158,0.151173,0.323909,0.100000,229.6
52,15.08,1.000000,0.763158,0.151173,0.323909,0.100000,230.0
